ACSSF,2014e5,wa,000,0004,0000013,18951,12783,18,72,184,37,5316,541,181,360,72,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,62,0,7,4,0,0,3,0,0,0,184,10,0,0,39,65,0,0,25,3,2,0,0,0,0,0,36,0,4,37,7,4,3,0,0,30,30,0,0,0,0,0,0,0,13300,90,270,307,54,5507,18951,18410,12783,18,72,184,37,5316,541,181,360,505,35,161,93,5,211,36,0
ACSSF,2014e5,wa,000,0004,0000014,21955,20583,123,248,169,72,196,564,97,467,248,171,0,0,24,0,0,36,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,93,0,0,0,0,0,0,0,0,77,169,84,0,0,8,11,0,3,19,20,0,0,0,0,0,0,3,21,0,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,21145,213,526,258,90,293,21955,21391,20583,123,248,169,72,196,564,97,467,558,82,272,87,0,117,6,0
ACSSF,2014e5,wa,000,0004,0000015,182053,146078,2871,1482,4902,198,20561,5961,1570,4391,1482,982,0,39,191,18,26,29,76,34,0,0,8,0,0,0,160,0,0,0,25,0,0,20,0,8,0,26,0,0,64,0,0,40,0,0,218,106,60,0,0,12,48,0,0,334,4902,749,40,0,1266,863,0,0,260,302,112,0,45,0,25,275,739,200,26,198,167,110,32,22,3,31,31,0,0,0,0,0,0,0,151344,3915,3497,6704,678,22295,182053,176092,146078,2871,1482,4902,198,20561,5961,1570,4391,5542,774,1601,1072,26,2069,419,0
ACSSF,2014e5,wa,000,0004,0000016,73664,66354,265,843,637,76,3886,1603,252,1351,843,450,0,30,27,0,17,15,0,35,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,14,0,90,0,0,0,0,0,4,0,0,188,27,309,14,39,246,6,4,0,57,637,0,0,30,189,77,0,1,81,184,0,0,0,0,26,0,32,17,0,76,48,48,0,0,0,25,25,0,0,0,0,0,3,0,67858,691,1425,1164,329,4138,73664,72061,66354,265,843,637,76,3886,1603,252,1351,1335,240,370,322,52,351,198,70
ACSSF,2014e5,wa,000,0004,0000017,72024,63318,686,3616,1066,56,726,2556,50,2506,3616,3235,33,0,32,0,14,75,9,2,0,5,4,0,0,0,22,0,0,0,19,0,0,0,0,20,0,72,0,0,3,0,0,6,0,0,2919,71,124,0,9,10,98,7,22,164,1066,56,0,6,227,162,0,24,176,112,0,0,0,0,19,57,142,85,0,56,50,46,4,0,0,6,0,6,0,0,0,0,0,0,65790,981,5109,1784,265,791,72024,69468,63318,686,3616,1066,56,726,2556,50,2506,2438,244,1384,546,4,260,107,11
ACSSF,2014e5,wa,000,0004,0000018,438272,372662,8743,3274,18216,3185,13537,18655,1647,17008,3274,2440,53,142,118,82,9,99,79,74,11,0,0,15,0,0,10,2,0,0,92,0,7,35,13,25,8,135,5,0,198,0,0,17,0,0,1211,140,226,55,8,52,76,35,11,457,18216,1667,8,769,2915,2532,81,43,1623,2049,642,0,36,67,209,323,4114,1036,102,3185,1434,601,690,90,53,1530,784,746,35,35,0,26,124,36,388970,14343,9174,25405,5761,15460,438272,419617,372662,8743,3274,18216,3185,13537,18655,1647,17008,16583,3413,4404,4620,259,3887,1958,114
ACSSF,2014e5,wa,000,0004,0000019,4031,3720,3,52,20,0,123,113,6,107,52,49,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,20,0,0,0,4,8,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3833,20,125,42,0,138,4031,3918,3720,3,52,20,0,123,113,6,107,99,12,68,13,0,6,14,0
ACSSF,2014e5,wa,000,0004,0000020,102072,92786,584,1233,1462,191,1493,4323,390,3933,1233,866,0,13,76,0,0,89,7,0,0,0,6,43,0,0,0,0,39,10,2,0,0,17,0,0,0,59,0,3,157,0,0,0,0,0,345,11,4,0,0,0,4,0,32,320,1462,24,0,348,225,259,0,15,116,142,0,0,8,0,0,31,216,78,0,191,126,25,67,0,34,65,0,65,0,0,0,0,0,0,96861,1503,3608,2418,526,1913,102072,97749,92786,584,1233,1462,191,1493,4323,390,3933,3923,638,1936,608,23,718,366,34
ACSSF,2014e5,wa,000,0004,0000021,39183,28836,139,392,339,14,8175,1288,466,822,392,362,0,7,61,5,0,86,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,46,0,0,19,2,0,0,0,0,0,0,0,28,339,58,0,0,57,109,0,23,30,31,6,0,0,0,0,12,13,0,0,14,8,8,0,0,0,6,6,0,0,0,0,0,0,0,30062,388,860,516,44,8665,39183,37895,28836,139,392,339,14,8175,1288,466,822,1225,194,380,154,15,482,62,1
ACSSF,2014e5,wa,000,0004,0000022,7657,5808,23,1275,9,52,88,402,41,361,1275,1185,10,7,4,48,0,0,0,926,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,51,0,0,7,0,0,115,45,3,3,0,0,0,0,0,42,9,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,52,28,9,19,0,0,24,0,24,0,0,0,0,0,0,6192,96,1619,20,76,145,7657,7255,5808,23,1275,9,52,88,402,41,361,313,22,239,4,0,48,89,0
