ACSSF,2014m5,wa,000,0004,0000021,0,613,72,147,75,16,629,261,193,161,147,144,25,12,56,9,25,96,25,116,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22,25,25,6,25,25,25,68,25,25,23,3,25,25,25,25,25,25,25,43,75,75,25,25,41,76,25,34,42,36,10,25,25,25,25,19,23,25,25,16,13,13,25,25,25,9,9,25,25,25,25,25,25,25,635,81,116,39,35,624,0,261,613,72,147,75,16,629,261,193,161,254,72,131,60,23,194,53,3
ACSSF,2014m5,wa,000,0004,0000022,0,78,22,105,10,30,82,114,32,105,105,115,15,10,9,60,17,17,17,116,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,39,17,17,11,17,17,42,52,6,6,17,17,17,17,17,20,10,8,17,17,17,4,17,17,5,17,17,17,17,17,17,17,17,17,17,30,18,13,14,17,17,24,17,24,17,17,17,17,17,17,125,70,57,17,40,78,0,114,78,22,105,10,30,82,114,32,105,84,24,74,6,17,32,72,17
ACSSF,2014m5,wa,000,0004,0000023,0,1734,221,221,211,34,1674,521,364,385,221,178,28,18,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,23,28,28,28,28,28,23,28,28,179,112,56,28,17,28,54,28,28,22,211,153,28,51,81,142,28,28,111,43,271,28,28,28,28,45,210,67,120,34,33,27,17,28,28,17,17,28,28,28,28,28,28,28,1726,207,204,212,86,1717,0,521,1734,221,221,211,34,1674,521,364,385,498,192,150,203,60,421,76,28
ACSSF,2014m5,wa,000,0004,0000024,0,59,12,8,9,12,12,57,12,57,8,8,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,12,12,12,5,5,12,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,57,23,12,12,0,57,59,12,8,9,12,12,57,12,57,56,8,57,12,12,12,17,12
ACSSF,2014m5,wa,000,0004,0000025,0,1478,204,200,140,46,1570,467,340,395,200,209,28,28,27,5,28,130,28,113,28,28,28,28,28,28,28,28,12,28,91,28,28,28,28,28,28,23,28,28,29,28,28,12,28,28,145,23,77,28,28,75,25,28,28,89,140,184,28,22,60,126,28,28,135,67,28,28,28,28,28,18,76,28,28,46,46,34,31,28,28,28,28,28,28,28,28,28,28,28,1553,193,249,267,223,1513,0,467,1478,204,200,140,46,1570,467,340,395,465,192,230,189,41,384,108,28
ACSSF,2014m5,wa,000,0004,0000026,0,451,160,297,225,38,500,374,136,342,297,314,45,28,60,28,28,52,23,67,28,28,28,28,28,28,28,28,28,28,21,28,28,28,28,4,28,106,28,24,77,28,28,34,28,28,288,30,55,28,21,10,38,23,4,159,225,12,28,198,22,156,28,11,34,119,25,28,28,28,28,49,89,48,25,38,33,19,41,28,28,71,26,80,46,46,28,28,19,28,549,134,205,111,90,469,0,374,451,160,297,225,38,500,374,136,342,362,140,298,184,37,144,122,44
ACSSF,2014m5,wa,000,0004,0000027,0,453,172,169,316,75,348,514,261,450,169,168,20,50,62,28,28,31,9,52,56,28,12,28,28,28,28,28,16,30,28,28,14,28,28,34,28,28,28,28,18,28,28,36,28,28,94,28,61,10,28,28,61,28,28,47,316,17,28,52,137,386,28,30,212,136,28,28,28,28,28,41,30,124,28,75,89,73,83,28,34,98,98,33,28,28,28,28,47,28,567,160,294,86,179,450,0,514,453,172,169,316,75,348,514,261,450,459,174,206,280,31,283,170,63
ACSSF,2014m5,wa,000,0004,0000028,0,132,101,181,98,44,90,278,94,286,181,178,25,25,17,25,25,26,31,25,25,25,15,25,25,25,25,25,25,25,25,25,25,25,25,25,25,20,25,25,28,25,25,4,25,25,178,25,39,39,25,25,25,25,25,54,98,22,25,25,26,66,25,25,102,154,13,25,25,25,34,42,5,25,52,44,20,20,25,25,25,20,20,25,25,25,25,25,26,25,230,35,120,227,252,110,0,278,132,101,181,98,44,90,278,94,286,204,99,156,89,11,92,174,8
ACSSF,2014m5,wa,000,0004,0000029,0,3124,2142,821,2166,456,3106,3741,1208,3270,821,740,106,112,170,74,52,273,105,291,28,80,99,19,113,28,29,28,23,28,79,67,32,72,92,110,72,387,10,28,164,28,35,201,12,4,756,217,261,62,135,71,146,93,81,649,2166,2201,151,1161,2694,2176,248,624,991,2053,1247,98,557,151,853,465,2593,1733,644,456,1124,477,928,709,644,905,610,608,459,452,29,84,365,81,3959,1342,1469,767,1161,3286,0,3741,3124,2142,821,2166,456,3106,3741,1208,3270,3546,1662,1038,1732,631,1488,1175,252
ACSSF,2014m5,wa,000,0004,0000030,0,954,452,554,582,251,876,1017,308,980,554,509,12,23,188,4,16,14,123,25,28,3,28,34,28,28,28,3,28,28,133,25,28,28,28,80,14,299,3,28,38,28,28,28,28,11,332,73,273,138,19,59,212,28,50,119,582,211,28,63,270,643,97,9,284,205,45,28,90,14,20,71,369,197,79,251,180,149,132,28,28,333,341,37,26,26,28,28,28,28,1342,266,518,223,464,960,0,1017,954,452,554,582,251,876,1017,308,980,969,443,465,572,183,525,344,57
ACSSF,2014m5,wa,000,0004,0000031,0,337,169,155,169,25,354,262,37,255,155,132,25,25,98,25,25,8,25,100,25,25,25,25,25,25,25,25,6,25,25,25,25,25,25,25,25,75,25,25,11,25,25,25,25,25,50,25,34,25,10,30,10,25,25,104,169,25,25,25,106,102,25,93,48,100,35,25,25,25,25,162,28,149,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,420,26,73,82,133,356,0,262,337,169,155,169,25,354,262,37,255,263,171,135,155,25,120,57,25
